dmc,name,hex,red,green,blue
3837,Lavender Ultra Dark,6C3A6E,108,58,110
3838,Lavender Blue Dark,5C7294,92,114,148
3839,Lavender Blue Med,7B8EAB,123,142,171
3840,Lavender Blue Light,B0C0DA,176,192,218
3841,Baby Blue Pale,CDDFED,205,223,237
3842,Wedgewood Vry Dk,32667C,50,102,124
3843,Electric Blue,14AAD0,20,170,208
3844,Turquoise Bright Dark,12AEBA,18,174,186
3845,Turquoise Bright Med,04C4CA,4,196,202
3846,Turquoise Bright Light,06E3E6,6,227,230
3847,Teal Green Dark,347D75,52,125,117
3848,Teal Green Med,419392,65,147,146
3849,Teal Green Light,52B3AE,82,179,174
3850,Green Bright Dk,378477,55,132,119
3851,Green Bright Lt,49B3A1,73,179,161
3852,Straw Very Dark,CD9D37,205,157,55
3853,Autumn Gold Dk,F29746,242,151,70
3854,Autumn Gold Med,F2AF68,242,175,104
3855,Autumn Gold Lt,FAD396,250,211,150
3856,Mahogany Ult Vy Lt,FFD3B5,255,211,181
3857,Rosewood Dark,68251A,104,37,26
3858,Rosewood Med,964A3F,150,74,63
3859,Rosewood Light,BA8B7C,186,139,124
3860,Cocoa,7D5D57,125,93,87
3861,Cocoa Light,A68881,166,136,129
3862,Mocha Beige Dark,8A6E4E,138,110,78
3863,Mocha Beige Med,A4835C,164,131,92
3864,Mocha Beige Light,CBB69C,203,182,156
3865,Winter White,F9F7F1,249,247,241
3866,Mocha Brn Ult Vy Lt,FAF6F0,250,246,240
B5200,Snow White,FFFFFF,255,255,255
Ecru,Ecru,F0EADA,240,234,218
White,White,FCFBF8,252,251,248
